ID,Title,Original Price,Discounted Price,URL
TO327MA08YQTINDFAS,Tom Tailor Grey Melange Printed Round Neck T-Shirt,1099,594,http://www.jabong.com/men/clothing/polos-tshirts//tom-tailor-Grey-Melange-Printed-Round-Neck-T-Shirt-2776091.html?pos=1&cid=TO327MA08YQTINDFAS
NE988MA40LATINDFAS,Next Grey Fan Print Polo,2390,1673,http://www.jabong.com/men/clothing/polos-tshirts//next-Grey-Fan-Print-Polo-2274759.html?pos=2&cid=NE988MA40LATINDFAS
TI677MA99FRSINDFAS,Tinted Blue Solid V Neck T-Shirt,575,489,http://www.jabong.com/men/clothing/polos-tshirts//tinted-Blue-Solid-V-Neck-T-Shirt-2816000.html?pos=3&cid=TI677MA99FRSINDFAS
TI677MA77TCOINDFAS,Tinted Grey Solid V Neck T-Shirt,575,489,http://www.jabong.com/men/clothing/polos-tshirts//tinted-Grey-Solid-V-Neck-T-Shirt-1981422.html?pos=4&cid=TI677MA77TCOINDFAS
NE988MA85SJMINDFAS,Next Ecru Slub Grandad,1990,1393,http://www.jabong.com/men/clothing/polos-tshirts//next-Ecru-Slub-Grandad-1770014.html?pos=5&cid=NE988MA85SJMINDFAS
PU102MA91ZGYINDFAS,Puma Speed Font Navy Blue Polo T-Shirt,1999,1300,http://www.jabong.com/men/clothing/polos-tshirts//Puma-Speed-Font-Navy-Blue-Polo-T-Shirt-2706208.html?pos=6&cid=PU102MA91ZGYINDFAS
CA237MA45ZYWINDFAS,Calvin Klein Jeans Olive Printed Round Neck T-Shirt,3999,3000,http://www.jabong.com/men/clothing/polos-tshirts//Calvin-Klein-Jeans-Olive-Printed-Round-Neck-T-Shirt-2794554.html?pos=7&cid=CA237MA45ZYWINDFAS
CA237MA80AJBINDFAS,Calvin Klein Jeans Blue Printed Round Neck T-Shirt,3999,3000,http://www.jabong.com/men/clothing/polos-tshirts//Calvin-Klein-Jeans-Blue-Printed-Round-Neck-T-Shirt-2794819.html?pos=8&cid=CA237MA80AJBINDFAS
RE105MA54FXYINDFAS,Reebok Wor Activchill Tech Black Solid Round Neck T-Shirt,1799,1799,http://www.jabong.com/men/clothing/polos-tshirts//Reebok-Wor-Activchill-Tech-Black-Solid-Round-Neck-T-Shirt-300034986.html?pos=9&cid=RE105MA54FXYINDFAS
UN573MA12WEGINDFAS,United Colors of Benetton White Striped Henley T-Shirt,2399,2399,http://www.jabong.com/men/clothing/polos-tshirts//united-colors-of-benetton-White-Striped-Henley-T-Shirt-300028328.html?pos=10&cid=UN573MA12WEGINDFAS
LE082MA01EMSINDFAS,Levi's Cream Striped Polo T-Shirt,2199,2199,http://www.jabong.com/men/clothing/polos-tshirts//Levis-Cream-Striped-Polo-T-Shirt-2885498.html?pos=11&cid=LE082MA01EMSINDFAS
TI677MA70BUVINDFAS,Tinted Black Solid Round Neck T-Shirt,575,460,http://www.jabong.com/men/clothing/polos-tshirts//tinted-Black-Solid-Round-Neck-T-Shirt-1530329.html?pos=12&cid=TI677MA70BUVINDFAS
NE988MA71SHRINDFAS,Next Navy Blue Solid Round Neck T-Shirt,890,890,http://www.jabong.com/men/clothing/polos-tshirts//next-Navy-Blue-Solid-Round-Neck-T-Shirt-300031089.html?pos=13&cid=NE988MA71SHRINDFAS
NI091MA51KAYINDFAS,Nike As Znl Cl Relay Dark Grey Running Round Neck T-Shirt,2295,2295,http://www.jabong.com/men/clothing/polos-tshirts//Nike-As-Znl-Cl-Relay-Dark-Grey-Running-Round-Neck-T-Shirt-2889248.html?pos=14&cid=NI091MA51KAYINDFAS
